relative_path,sha256,role
README.md,9fffbd8edea4ed6e280b33f60af4dcfd8fff7053d9994feb3eed4d0d93f76393,figure_readme
claim_boundary_notes.md,3ebb9a43af053496f85389386df77f366d800379aeab4e29759a3bd5c92ab11c,claim_boundary_notes
panel_A/README.md,6ef072147829dd021f13957ddb6cea3be9a8ef678ba5f5b7c0d737870c28e7e0,panel_readme
panel_A/analysis_script__run_mixed_train_tolerance.py,9cb740aae769c5197ff58cceb7276be5a9c774aac6184342932a89dbf2eca8b7,analysis_script
panel_A/config_snapshot.json,c4775cd6b0921eb26ca0952501596f215f9ebae1c234f88fdb905031d0ca0a68,config_snapshot_json
panel_A/plot_script__run_mixed_train_tolerance.py,9cb740aae769c5197ff58cceb7276be5a9c774aac6184342932a89dbf2eca8b7,plot_script
panel_A/raw__mixed_train_tolerance_metrics.csv,3978018e0a8ee038f0dbac129f213601088764c14b50377fe2abb29c2b849519,raw
panel_A/summary__mixed_train_tolerance_summary.json,b891a02dbc23a133bc94dd9cbcfbfd51895802f09808b4f106ad6eff613f4093,summary
panel_B/README.md,3def15694eff6b858dad5c885f3bb94b7d4ab8db48fbdfb9abeeab7146a32a0d,panel_readme
panel_B/analysis_script__run_mixed_train_tolerance.py,9cb740aae769c5197ff58cceb7276be5a9c774aac6184342932a89dbf2eca8b7,analysis_script
panel_B/config_snapshot.json,6f943b6e26747a818e7967c6170a2604d9fc811e61764fb08ad7ef11c0ea4b89,config_snapshot_json
panel_B/plot_script__run_mixed_train_tolerance.py,9cb740aae769c5197ff58cceb7276be5a9c774aac6184342932a89dbf2eca8b7,plot_script
panel_B/raw__mixed_train_tolerance_metrics.csv,3978018e0a8ee038f0dbac129f213601088764c14b50377fe2abb29c2b849519,raw
panel_B/summary__mixed_train_tolerance_summary.json,b891a02dbc23a133bc94dd9cbcfbfd51895802f09808b4f106ad6eff613f4093,summary
