relative_path,sha256,role
README.md,fccb19733bf2650c0535f553064bd1e1fbd17652167cd458cd283b7b749441c4,figure_readme
claim_boundary_notes.md,1a29941131d4e146c4a656dca84b628901d7ea2b86a748c6bc6524b5a9ea6455,claim_boundary_notes
panel_A/README.md,61e0603a11daa006906abb251df0cb699be8e0a4ed60c4c89350b3463ecbb3af,panel_readme
panel_A/analysis_script__run_natural_object_evaluation.py,bb71e58084aa912d76141312ee9c35cac61dc261ac2bbe5db09f09678472468e,analysis_script
panel_A/config_snapshot.json,868bdfc656b4b741775b9c306faaaa5b8ac8b14c5550d9a4dc3c93a4ede38f22,config_snapshot_json
panel_A/plot_script__run_natural_object_evaluation.py,bb71e58084aa912d76141312ee9c35cac61dc261ac2bbe5db09f09678472468e,plot_script
panel_A/raw__natural_object_metrics.csv,360c822d60c5b62654bf91f2874f648487d0aea013b9b5f6854eb0505020fd73,raw
panel_A/summary__natural_object_summary.json,b17626266a9745aa0b6d803d5ceae9502002c5c992bb34e1a42221e130a1162b,summary
panel_B/README.md,da635b2cd1fa67531f3cc7584ec62300d9229e142ec5b7ab40d49b0316b56e34,panel_readme
panel_B/analysis_script__run_mixed_train_natural_object_thickstats.py,e86607f641c7d91ea0267e2572cb8e063485765b1c41f9de5666df3ae6432768,analysis_script
panel_B/config_snapshot.json,1b642c8ac4aeba75693b7093094948190e26a645103e14e47adb28709e987d01,config_snapshot_json
panel_B/plot_script__run_mixed_train_natural_object_thickstats.py,e86607f641c7d91ea0267e2572cb8e063485765b1c41f9de5666df3ae6432768,plot_script
panel_B/raw__mixed_train_natural_object_thickstats_metrics.csv,30c3e3d595293780dbb73635fb1a4a1ecb89bddd5523f495e8dfa609385a0883,raw
panel_B/summary__mixed_train_natural_object_thickstats_summary.json,93b41926f363ef018290976264629e31cca9704ead00bba8320b46c912028e31,summary
